key,TOTAL_POP,TOTAL_MALE,TOTAL_FEMALE,SEX_RATIO,HH_SIZE,ENUMERATED_HH,QUICK_COUNT_HH,csv_pop_total,csv_pop_male,csv_pop_female,csv_hh_total,csv_sex_ratio,pop_diff,match_method,population,area_km2,density
26|00|14|179|576|268,87,47,40,118,4.4,20,20,87.0,47.0,40.0,20.0,117.5,0.0,code_match,87,0.3174870220629131,274.0
26|00|14|179|633|308,255,114,141,81,4.6,56,25,255.0,114.0,141.0,56.0,80.85,0.0,code_match,255,0.40540048672324935,629.0
26|00|14|179|644|188,349,187,162,115,4.0,87,95,349.0,187.0,162.0,87.0,115.43,0.0,code_match,349,0.34853377325130064,1001.3
26|00|14|179|644|308,513,231,282,82,3.8,134,160,513.0,231.0,282.0,134.0,81.91,0.0,code_match,513,0.49824441913187417,1029.6
26|00|14|179|710|348,2170,974,1196,81,3.5,624,559,2170.0,974.0,1196.0,624.0,81.44,0.0,code_match,2170,2.650477623225617,818.7
26|00|14|179|748|368,445,205,240,85,3.8,116,128,445.0,205.0,240.0,116.0,85.42,0.0,code_match,445,0.7222700730180207,616.1
26|00|14|179|840|408,606,296,310,96,3.6,169,170,606.0,296.0,310.0,169.0,95.48,0.0,code_match,606,0.694014606269716,873.2
26|00|14|179|842|408,176,76,100,76,3.9,45,40,176.0,76.0,100.0,45.0,76.0,0.0,code_match,176,0.2837392588255565,620.3
26|00|14|213|153|048,684,336,348,97,4.4,156,153,684.0,336.0,348.0,156.0,96.55,0.0,code_match,684,0.24185203586451864,2828.2
26|00|14|213|154|048,2359,1219,1140,107,4.1,578,473,2359.0,1219.0,1140.0,578.0,106.93,0.0,code_match,2359,0.9391749659504042,2511.8
26|00|14|213|209|068,2526,1306,1220,107,4.5,561,543,2526.0,1306.0,1220.0,561.0,107.05,0.0,code_match,2526,2.2037986735215007,1146.2
26|00|14|213|338|308,1686,786,900,87,4.2,401,403,1686.0,786.0,900.0,401.0,87.33,0.0,code_match,1686,0.3577531832421065,4712.7
26|00|14|213|338|316,1107,530,577,92,3.8,289,307,1107.0,530.0,577.0,289.0,91.85,0.0,code_match,1107,0.2322947265695918,4765.5
26|00|14|213|372|268,157,68,89,76,3.8,41,42,157.0,68.0,89.0,41.0,76.4,0.0,code_match,157,0.260927236595839,601.7
26|00|14|213|372|660,1081,505,576,88,4.1,263,253,1081.0,505.0,576.0,263.0,87.67,0.0,code_match,1081,0.2932913481253368,3685.8
26|00|14|213|406|070,712,356,356,100,4.0,176,177,712.0,356.0,356.0,176.0,100.0,0.0,code_match,712,0.07448803209470985,9558.6
26|00|14|213|767|368,5641,2804,2837,99,4.0,1426,1349,5645.0,2808.0,2837.0,1426.0,98.98,4.0,code_match,5641,0.7755978949831775,7273.1
26|00|14|213|767|660,513,271,242,112,4.2,123,129,516.0,274.0,242.0,123.0,113.22,3.0,code_match,513,0.17918096789636784,2863.0
26|00|14|313|027|041,95,41,54,76,4.3,22,25,95.0,41.0,54.0,22.0,75.93,0.0,code_match,95,0.7453404844653013,127.5
26|00|14|313|034|063,1649,845,804,105,4.1,403,494,1649.0,845.0,804.0,403.0,105.1,0.0,code_match,1649,0.7637140626593408,2159.2
26|00|14|313|089|028,1573,795,778,102,3.6,434,220,1573.0,795.0,778.0,434.0,102.19,0.0,code_match,1573,0.4224382069445165,3723.6
26|00|14|313|089|128,649,350,299,117,3.9,168,130,649.0,350.0,299.0,168.0,117.06,0.0,code_match,649,0.46242300643999296,1403.5
26|00|14|313|151|048,1000,505,495,102,3.7,269,305,1000.0,505.0,495.0,269.0,102.02,0.0,code_match,1000,0.3677506506401385,2719.2
26|00|14|313|151|056,430,218,212,103,3.9,111,120,430.0,218.0,212.0,111.0,102.83,0.0,code_match,430,0.05118868893336147,8400.3
26|00|14|313|151|068,311,158,153,103,4.0,78,91,311.0,158.0,153.0,78.0,103.27,0.0,code_match,311,0.013104026688343462,23733.2
26|00|14|313|191|068,106,61,45,136,3.7,29,25,106.0,61.0,45.0,29.0,135.56,0.0,code_match,106,0.9094723893867656,116.6
